marketplace,category,title,price,price_formatted,description,seller,location,date_posted,url,scraped_at
krisha.kz,Квартиры,3-комнатная квартира · 60 м² · 2/5 этаж,3,3 ₸,"Бостандыкский р-н, мкр Орбита-2",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005789801,2025-09-29 18:31:40
krisha.kz,Квартиры,3-комнатная квартира · 110 м² · 3/16 этаж,3,3 ₸,"Бостандыкский р-н, мкр Орбита-2, Торайгырова 208/8 — Торайгырова новаи",Не указан,Алматы,Не указано,https://krisha.kz/a/show/697433566,2025-09-29 18:31:40
krisha.kz,Квартиры,2-комнатная квартира · 55 м² · 4/8 этаж,2,2 ₸,"Бостандыкский р-н, мкр Орбита-2 1",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005761367,2025-09-29 18:31:40
krisha.kz,Квартиры,1-комнатная квартира · 40 м² · 3/8 этаж,1,1 ₸,"Бостандыкский р-н, мкр Орбита-2 10 — Навои-Аль Фараби",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1000245409,2025-09-29 18:31:40
krisha.kz,Квартиры,2-комнатная квартира · 45 м² · 2/5 этаж,2,2 ₸,"Бостандыкский р-н, мкр Орбита-2 28",Не указан,Алматы,Не указано,https://krisha.kz/a/show/684963357,2025-09-29 18:31:40
krisha.kz,Квартиры,3-комнатная квартира · 60 м² · 2/5 этаж,3,3 ₸,"Бостандыкский р-н, мкр Орбита-2 29а — Мустафина/Биржана",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005762861,2025-09-29 18:31:40
krisha.kz,Квартиры,2-комнатная квартира · 53 м² · 4/5 этаж,2,2 ₸,"Бостандыкский р-н, мкр Орбита-2, Навои 328 — Алматы",Не указан,Алматы,Не указано,https://krisha.kz/a/show/677287016,2025-09-29 18:31:40
krisha.kz,Квартиры,2-комнатная квартира · 44 м² · 1/5 этаж,2,2 ₸,"Бостандыкский р-н, мкр Орбита-2 — Навои-Альфараби",Не указан,Алматы,Не указано,https://krisha.kz/a/show/760082819,2025-09-29 18:31:40
krisha.kz,Квартиры,3-комнатная квартира · 63 м² · 5/5 этаж,3,3 ₸,"Бостандыкский р-н, мкр Орбита-2 — Биржана-Мустафина",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005730579,2025-09-29 18:31:40
krisha.kz,Квартиры,1-комнатная квартира · 31 м² · 4/5 этаж,1,1 ₸,"Бостандыкский р-н, мкр Орбита-2 — Мустафина-Биржана",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005335760,2025-09-29 18:31:40
krisha.kz,Квартиры,1-комнатная квартира · 32 м² · 1/5 этаж,1,1 ₸,"Бостандыкский р-н, мкр Орбита-2 24",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1004214963,2025-09-29 18:31:40
krisha.kz,Квартиры,2-комнатная квартира · 50 м² · 2/5 этаж,2,2 ₸,"Бостандыкский р-н, мкр Орбита-2 6",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005046673,2025-09-29 18:31:40
krisha.kz,Квартиры,1-комнатная квартира · 40 м² · 3/8 этаж,1,1 ₸,"Бостандыкский р-н, мкр Орбита-2 11 — Аль-Фараби-Навои",Не указан,Алматы,Не указано,https://krisha.kz/a/show/696123135,2025-09-29 18:31:40
krisha.kz,Квартиры,2-комнатная квартира · 42 м² · 3/5 этаж,2,2 ₸,"Бостандыкский р-н, мкр Орбита-2 6 — Альфараби Наваи",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005637666,2025-09-29 18:31:40
krisha.kz,Квартиры,2-комнатная квартира · 42.7 м² · 2/4 этаж,2,2 ₸,"Бостандыкский р-н, мкр Орбита-2 13 — Аль- Фараби - Навои",Не указан,Алматы,Не указано,https://krisha.kz/a/show/688318160,2025-09-29 18:31:40
krisha.kz,Квартиры,2-комнатная квартира · 45 м² · 5/5 этаж,2,2 ₸,"Бостандыкский р-н, мкр Орбита-2 30 — Мустафина",Не указан,Алматы,Не указано,https://krisha.kz/a/show/697077097,2025-09-29 18:31:40
krisha.kz,Квартиры,2-комнатная квартира · 46 м² · 2/5 этаж,2,2 ₸,"Бостандыкский р-н, мкр Орбита-2 16 — Аль Фараби - Мустафин",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005415640,2025-09-29 18:31:40
krisha.kz,Квартиры,2-комнатная квартира · 60 м² · 1/9 этаж,2,2 ₸,"Бостандыкский р-н, мкр Орбита-2 — Аль-Фараби-Навои",Не указан,Алматы,Не указано,https://krisha.kz/a/show/681299645,2025-09-29 18:31:40
krisha.kz,Квартиры,2-комнатная квартира · 55 м² · 4/5 этаж,2,2 ₸,"Бостандыкский р-н, мкр Орбита-2 — Аль Фараби Навои",Не указан,Алматы,Не указано,https://krisha.kz/a/show/691343745,2025-09-29 18:31:40
krisha.kz,Квартиры,2-комнатная квартира · 48 м² · 4/5 этаж,2,2 ₸,"Бостандыкский р-н, мкр Орбита-2 31 — По Биржана не доезжая Мустафина",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1004254666,2025-09-29 18:31:40
