marketplace,category,title,price,description,seller,location,date_posted,url,scraped_at
krisha.kz,Квартиры,3-комнатная квартира · 57.2 м² · 5/5 этаж,40000000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005169035,2025-09-30 11:49:03
krisha.kz,Квартиры,3-комнатная квартира · 57.2 м² · 5/5 этаж,40000000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005169035,2025-09-30 11:49:03
krisha.kz,Квартиры,3-комнатная квартира · 55 м² · 2/5 этаж,47500000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1004385658,2025-09-30 11:49:03
krisha.kz,Квартиры,3-комнатная квартира · 55 м² · 2/5 этаж,47500000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1004385658,2025-09-30 11:49:03
krisha.kz,Квартиры,3-комнатная квартира · 60 м² · 3/5 этаж,48000000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005584413,2025-09-30 11:49:03
krisha.kz,Квартиры,3-комнатная квартира · 60 м² · 3/5 этаж,48000000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005584413,2025-09-30 11:49:03
krisha.kz,Квартиры,3-комнатная квартира · 63 м² · 5/5 этаж,36999999,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005737834,2025-09-30 11:49:03
krisha.kz,Квартиры,3-комнатная квартира · 63 м² · 5/5 этаж,36999999,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005737834,2025-09-30 11:49:03
krisha.kz,Квартиры,4-комнатная квартира · 92 м² · 7/8 этаж,66000000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005745668,2025-09-30 11:49:03
krisha.kz,Квартиры,4-комнатная квартира · 92 м² · 7/8 этаж,66000000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005745668,2025-09-30 11:49:03
krisha.kz,Квартиры,4-комнатная квартира · 76 м² · 5/5 этаж,52000000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1002426534,2025-09-30 11:49:03
krisha.kz,Квартиры,4-комнатная квартира · 76 м² · 5/5 этаж,52000000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1002426534,2025-09-30 11:49:03
krisha.kz,Квартиры,3-комнатная квартира · 63 м² · 5/5 этаж,37000000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005433460,2025-09-30 11:49:03
krisha.kz,Квартиры,3-комнатная квартира · 63 м² · 5/5 этаж,37000000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005433460,2025-09-30 11:49:03
krisha.kz,Квартиры,3-комнатная квартира · 74 м² · 4/8 этаж,60000000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1003938061,2025-09-30 11:49:03
krisha.kz,Квартиры,3-комнатная квартира · 74 м² · 4/8 этаж,60000000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1003938061,2025-09-30 11:49:03
krisha.kz,Квартиры,4-комнатная квартира · 110 м² · 7/8 этаж,63500000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005261166,2025-09-30 11:49:03
krisha.kz,Квартиры,4-комнатная квартира · 110 м² · 7/8 этаж,63500000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005261166,2025-09-30 11:49:03
krisha.kz,Квартиры,1-комнатная квартира · 39.4 м² · 4/8 этаж,35500000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/699808377,2025-09-30 11:49:03
krisha.kz,Квартиры,1-комнатная квартира · 39.4 м² · 4/8 этаж,35500000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/699808377,2025-09-30 11:49:03
krisha.kz,Квартиры,2-комнатная квартира · 44 м² · 2/5 этаж,45000000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1003376280,2025-09-30 11:49:03
krisha.kz,Квартиры,2-комнатная квартира · 44 м² · 2/5 этаж,45000000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1003376280,2025-09-30 11:49:03
krisha.kz,Квартиры,3-комнатная квартира · 66.4 м² · 5/5 этаж,38000000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/693957384,2025-09-30 11:49:03
krisha.kz,Квартиры,3-комнатная квартира · 66.4 м² · 5/5 этаж,38000000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/693957384,2025-09-30 11:49:03
krisha.kz,Квартиры,2-комнатная квартира · 45 м² · 4/5 этаж,27500000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005775620,2025-09-30 11:49:03
krisha.kz,Квартиры,2-комнатная квартира · 45 м² · 4/5 этаж,27500000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005775620,2025-09-30 11:49:03
krisha.kz,Квартиры,1-комнатная квартира · 32 м² · 2/5 этаж,26500000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1004120546,2025-09-30 11:49:03
krisha.kz,Квартиры,1-комнатная квартира · 32 м² · 2/5 этаж,26500000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1004120546,2025-09-30 11:49:03
krisha.kz,Квартиры,2-комнатная квартира · 41 м² · 3/4 этаж,29850000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1002785647,2025-09-30 11:49:03
krisha.kz,Квартиры,2-комнатная квартира · 41 м² · 3/4 этаж,29850000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1002785647,2025-09-30 11:49:03
krisha.kz,Квартиры,4-комнатная квартира · 74 м² · 5/5 этаж,49600000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/682359300,2025-09-30 11:49:03
krisha.kz,Квартиры,4-комнатная квартира · 74 м² · 5/5 этаж,49600000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/682359300,2025-09-30 11:49:03
krisha.kz,Квартиры,3-комнатная квартира · 59 м² · 3/5 этаж,38000000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005807062,2025-09-30 11:49:03
krisha.kz,Квартиры,3-комнатная квартира · 59 м² · 3/5 этаж,38000000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005807062,2025-09-30 11:49:03
krisha.kz,Квартиры,2-комнатная квартира · 48 м² · 6/12 этаж,40800000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/689513439,2025-09-30 11:49:03
krisha.kz,Квартиры,2-комнатная квартира · 48 м² · 6/12 этаж,40800000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/689513439,2025-09-30 11:49:03
krisha.kz,Квартиры,2-комнатная квартира · 44 м² · 1/5 этаж,34500000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005806632,2025-09-30 11:49:03
krisha.kz,Квартиры,2-комнатная квартира · 44 м² · 1/5 этаж,34500000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005806632,2025-09-30 11:49:03
krisha.kz,Квартиры,2-комнатная квартира · 45 м² · 4/5 этаж,27500000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005806481,2025-09-30 11:49:03
krisha.kz,Квартиры,2-комнатная квартира · 45 м² · 4/5 этаж,27500000,Сохранить в подборку,Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005806481,2025-09-30 11:49:03
